AL, A4, 2010062512, 03, AP10,  36, 230N,  626W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP10,  42, 240N,  637W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP10,  48, 250N,  642W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP10,  54, 259N,  644W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP10,  60, 258N,  658W,  14, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP10,  66, 267N,  667W,  13, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP10,  72, 272N,  672W,  14, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP10,  78, 281N,  674W,  13, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP10,  84, 290N,  677W,  14, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP10,  90, 304N,  681W,  14, 1018, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP10,  96, 309N,  674W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP11,   0, 176N,  588W,  20, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP11,   6, 190N,  594W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP11,  12, 199N,  603W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP11,  18, 205N,  613W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP11,  24, 211N,  618W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP11,  30, 228N,  620W,  18, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP11,  36, 229N,  632W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP11,  42, 225N,  646W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP11,  48, 235N,  654W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP12,   0, 186N,  580W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP12,   6, 192N,  591W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP12,  12, 197N,  598W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP12,  18, 205N,  609W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP12,  24, 210N,  614W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP12,  30, 218N,  624W,  16, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP12,  36, 223N,  623W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
