AL, E3, 2010080600, 03, AP04,   0, 129N,  348W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04,   6, 142N,  339W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04,  12, 148N,  344W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04,  18, 152N,  354W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04,  24, 157N,  368W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04,  30, 164N,  384W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04,  36, 172N,  398W,  29, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04,  42, 179N,  413W,  28, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04,  48, 188N,  430W,  29, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04,  54, 190N,  449W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04,  60, 198N,  461W,  28, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04,  66, 203N,  480W,  30, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04,  72, 210N,  491W,  29, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04,  78, 214N,  506W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04,  84, 221N,  520W,  26, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04,  90, 229N,  531W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04,  96, 231N,  542W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 102, 236N,  554W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
